"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 03 08:41:24 UTC 2025","Fri Jan 03 08:41:25 UTC 2025","172","","","","","","Verify the response of the GET /api/books API as admin",""
"passed","Fri Jan 03 08:41:28 UTC 2025","Fri Jan 03 08:41:29 UTC 2025","163","","","","","","Update an existing book without title as admin",""
"passed","Fri Jan 03 08:41:28 UTC 2025","Fri Jan 03 08:41:28 UTC 2025","166","","","","","","Update existing book without both title and author as user",""
"passed","Fri Jan 03 08:41:27 UTC 2025","Fri Jan 03 08:41:27 UTC 2025","84","","","","","","Verify the response of the POST /api/books API as admin with title and without author",""
"failed","Fri Jan 03 08:41:26 UTC 2025","Fri Jan 03 08:41:26 UTC 2025","168","","","","","","Verify the response of the POST /api/books API as admin without title",""
"failed","Fri Jan 03 08:41:25 UTC 2025","Fri Jan 03 08:41:25 UTC 2025","165","","","","","","Verify the response of the Get /api/books/{bookId} API as user with non-existing ID",""
"passed","Fri Jan 03 08:41:25 UTC 2025","Fri Jan 03 08:41:26 UTC 2025","85","","","","","","Verify the response of the POST /api/books API as admin with valid data",""
"failed","Fri Jan 03 08:41:27 UTC 2025","Fri Jan 03 08:41:27 UTC 2025","168","","","","","","Verify the response of the PUT /api/books/{id} API as admin",""
"passed","Fri Jan 03 08:41:26 UTC 2025","Fri Jan 03 08:41:26 UTC 2025","85","","","","","","Verify the response of the POST /api/books API as user without both title and author",""
"passed","Fri Jan 03 08:41:27 UTC 2025","Fri Jan 03 08:41:27 UTC 2025","165","","","","","","Update existing book without author (different title) as user",""
"passed","Fri Jan 03 08:41:25 UTC 2025","Fri Jan 03 08:41:25 UTC 2025","168","","","","","","Verify the response of the GET /api/books API as user",""
"passed","Fri Jan 03 08:41:25 UTC 2025","Fri Jan 03 08:41:25 UTC 2025","163","","","","","","Verify the response of the Get /api/books/{bookId} API as admin with non-existing ID",""
"passed","Fri Jan 03 08:41:28 UTC 2025","Fri Jan 03 08:41:28 UTC 2025","121","","","","","","User tries to update a non-existing book id",""
"failed","Fri Jan 03 08:41:26 UTC 2025","Fri Jan 03 08:41:26 UTC 2025","83","","","","","","Verify the response of the POST /api/books API as user with empty title",""
"passed","Fri Jan 03 08:41:28 UTC 2025","Fri Jan 03 08:41:28 UTC 2025","164","","","","","","Update existing book with a new title and the same author as user",""
"failed","Fri Jan 03 08:41:25 UTC 2025","Fri Jan 03 08:41:25 UTC 2025","163","","","","","","Verify the response of the GET /api/books/{bookId} API as user with existing ID",""
"failed","Fri Jan 03 08:41:24 UTC 2025","Fri Jan 03 08:41:24 UTC 2025","82","","","","","","Verify the response of the DELETE API as admin with a non-existing ID",""
"passed","Fri Jan 03 08:41:28 UTC 2025","Fri Jan 03 08:41:28 UTC 2025","164","","","","","","Update existing book without both title and author as admin",""
"failed","Fri Jan 03 08:41:26 UTC 2025","Fri Jan 03 08:41:26 UTC 2025","88","","","","","","Verify the response of the POST /api/books API as admin with an existing title but a different author",""
"failed","Fri Jan 03 08:41:26 UTC 2025","Fri Jan 03 08:41:27 UTC 2025","171","","","","","","Verify the response of the POST /api/books API as user without title",""
